"id","startTime","endTime","selected","foodType","firstCooked","secondCooked","prolificId","studyId","sessionId"
"47","0","2239","Cooked","Meat","Cooked","Raw","6849c6376a69ca11e3110192","68548d09118a9d62c6015329","68548d884219b6df47112812"
"48","0","6355","Cooked","Meat","Raw","Cooked","6848ca5131ff951705fe0c59","68548d09118a9d62c6015329","68548d8738870c03e4715aed"
"49","0","4346","Cooked","Vegetables","Raw","Cooked","665a435b7eca73af5ef379aa","68548d09118a9d62c6015329","68548d97f009b7de863c977f"
"50","0","2617","Cooked","Meat","Cooked","Raw","669dbd856a36321b0839f78e","68548d09118a9d62c6015329","68548d94b219bcd4e2529988"
"51","0","6942","Cooked","Vegetables","Cooked","Raw","683e8bea19afd2bf13bba37c","68548d09118a9d62c6015329","68548d8a1f92494d75540caa"
"52","0","4926","Cooked","Vegetables","Raw","Cooked","66294b3fb5ddd7c7e15fd6e6","68548d09118a9d62c6015329","68548d867b017021eac3b5ee"
"53","0","9533","Cooked","Vegetables","Cooked","Raw","5fba9fdd33207faa35f61df3","68548d09118a9d62c6015329","68548d906e0625248baad014"
"54","0","7870","Cooked","Vegetables","Raw","Cooked","682d7d0dcf22019f4e337e2c","68548d09118a9d62c6015329","68548d8d265dae06313cabd1"
"55","0","3460","Cooked","Meat","Raw","Cooked","66980b6dfb93bb2506774ca2","68548d09118a9d62c6015329","68548d8ff37f4f8de5ca81a0"
"56","0","4543","Cooked","Meat","Cooked","Raw","6595a5cbe675d0fc372344b9","68548d09118a9d62c6015329","68548d9551c85fb39c32af09"
"57","0","2811","Cooked","Meat","Raw","Cooked","6847538397261a37a532bdc4","68548d09118a9d62c6015329","68548d976726e8b263e475f5"
"58","0","4597","Cooked","Vegetables","Cooked","Raw","683fc214444bef568873b1ab","68548d09118a9d62c6015329","68548d898af30d7e54aecf51"
"59","0","4634","Raw","Vegetables","Raw","Cooked","673276b17430c6ece3a6d874","68548d09118a9d62c6015329","68548d7d753775bdd6fcf625"
"60","0","4007","Cooked","Vegetables","Cooked","Raw","68360e67286e4e772c8d6612","68548d09118a9d62c6015329","68548d9b35e6407bc32bae57"
"61","0","5343","Cooked","Meat","Cooked","Raw","6619cb1e30cb95691a6dd425","68548d09118a9d62c6015329","68548d93a17e51d75ef1a516"
"62","0","3959","Cooked","Meat","Raw","Cooked","67cdc3c7ea7918dcd6f2ab2d","68548d09118a9d62c6015329","68548d89a3727b17dc92b899"
"63","0","3947","Cooked","Vegetables","Raw","Cooked","682cfc4acf3600b82b71d6a0","68548d09118a9d62c6015329","68548d9a0934b10ee42e4915"
"64","0","4301","Cooked","Meat","Cooked","Raw","6847e2567d8623ba80941968","68548d09118a9d62c6015329","68548d8f96db91a73d4860c3"
"65","0","3333","Cooked","Meat","Raw","Cooked","6843e3a7020a701befb84aca","68548d09118a9d62c6015329","68548d9261ba53dcf251df90"
"66","0","5085","Cooked","Meat","Cooked","Raw","662948ed99960b11f2f8e3fe","68548d09118a9d62c6015329","68548d998b5fb9bd463e1e32"
"67","0","9987","Cooked","Vegetables","Raw","Cooked","684266c7111f59925791b42d","68548d09118a9d62c6015329","68548d910f54125716b2380e"
"68","0","8118","Raw","Vegetables","Cooked","Raw","682d82ff362f3a131376a0d1","68548d09118a9d62c6015329","68548d9057a4eb5e6c29d6c2"
"69","0","4195","Cooked","Meat","Raw","Cooked","60f09796c2a24694ff43f6b7","68548d09118a9d62c6015329","68548d9e573c4807e4f6a815"
"70","0","4956","Cooked","Meat","Cooked","Raw","68379dd502dc35d56ae3c394","68548d09118a9d62c6015329","68548d920d1aa28013067523"
"71","0","4753","Cooked","Meat","Raw","Cooked","68435710118c925bf9493846","68548d09118a9d62c6015329","68548d8b2819d9b011c3cc5a"
"72","0","3056","Cooked","Vegetables","Raw","Cooked","68489ba7d66be440014f2502","68548d09118a9d62c6015329","68548da02b6aa3b5daf7ea11"
"73","0","5419","Cooked","Vegetables","Raw","Cooked","68310c50ac8ec56f94cfbff0","68548d09118a9d62c6015329","68548da1f9366d14cd7f3108"
"74","0","4927","Cooked","Meat","Cooked","Raw","6791a8549ed23cc3997dd33a","68548d09118a9d62c6015329","68548d8e903c4540d65466d1"
"75","0","6568","Raw","Vegetables","Raw","Cooked","683929f34ee7e8888691ddbc","68548d09118a9d62c6015329","68548d99f0f5c3b2b6d448b1"
"76","0","41632","Cooked","Meat","Cooked","Raw","630a8feaa8eef385f72dc1a5","68548d09118a9d62c6015329","68548d844f9125be34952020"
"77","0","5310","Cooked","Vegetables","Cooked","Raw","672a401ef9623837c59f3af2","68548d09118a9d62c6015329","68548d916572e780df83064a"
"78","0","6139","Cooked","Meat","Cooked","Raw","6843affc80f344239bcfd17e","68548d09118a9d62c6015329","68548d9e9924d5211fd45560"
"79","0","6508","Cooked","Meat","Raw","Cooked","67307f87eac0c3717c72d175","68548d09118a9d62c6015329","68548da01d4bb76ae7831f7f"
"80","0","2485","Cooked","Vegetables","Raw","Cooked","66821bd8c0252a33b4c4390f","68548d09118a9d62c6015329","68548db1e65af5568e00e1c4"
"81","0","10109","Cooked","Vegetables","Raw","Cooked","6844e46c9469ec90cb9a2eb2","68548d09118a9d62c6015329","68548d945e4d4d9ed898a285"
"82","0","6890","Raw","Vegetables","Raw","Cooked","6629b9e67e5f6d0d3b0a6ddc","68548d09118a9d62c6015329","68548d8f9e56a7b67d57876c"
"83","0","5924","Cooked","Meat","Raw","Cooked","682b9c4fa76f7fee9f3ecfb2","68548d09118a9d62c6015329","68548d9ea67fd1a5cf746df8"
"84","0","2174","Cooked","Meat","Raw","Cooked","67abaa736bc6b75d0a265c91","68548d09118a9d62c6015329","68548d926294580ee649668d"
"85","0","11269","Cooked","Meat","Cooked","Raw","68376c52ffb5075f5976053a","68548d09118a9d62c6015329","68548d9076d69dfd03d2339f"
"86","0","4598","Cooked","Meat","Cooked","Raw","683215180cdf141e513840d7","68548d09118a9d62c6015329","68548d9403c8d9222d44f39d"
"87","0","24970","Raw","Vegetables","Cooked","Raw","6843ccfd64ef8554049c5aff","68548d09118a9d62c6015329","68548d9106333a200f05d903"
"88","0","23655","Cooked","Vegetables","Raw","Cooked","68430b4e88a1504daced2645","68548d09118a9d62c6015329","68548d86a135ce2fa8c8fbf6"
"89","0","3871","Cooked","Meat","Raw","Cooked","684a1d7a90812f04826b7880","68548d09118a9d62c6015329","68548db59924d5211fd4556c"
"90","0","28621","Cooked","Vegetables","Cooked","Raw","5a792c898fe2dc0001058c3b","68548d09118a9d62c6015329","68548d986ad0b6007071cca9"
"91","0","13416","Cooked","Meat","Cooked","Raw","6845a0da92fb0b9ecb8d36fa","68548d09118a9d62c6015329","68548d8cc32dd3c942d83e92"
"92","0","5768","Cooked","Vegetables","Raw","Cooked","671139a20b977d78ec2ac1e0","68548d09118a9d62c6015329","68548d95265f33d743eecdf8"
"93","0","3774","Cooked","Vegetables","Raw","Cooked","6845f099685f7b871b5af94b","68548d09118a9d62c6015329","68548d8171680e87fac9ca98"
"94","0","4006","Cooked","Vegetables","Raw","Cooked","683f291ca379c327d2918a2e","68548d09118a9d62c6015329","68548d96c5761aad66da7416"
"95","0","2772","Cooked","Vegetables","Cooked","Raw","682a5abfc4628c5977b8a84d","68548d09118a9d62c6015329","68548da1137450ce90218a7b"
"96","0","2245","Cooked","Vegetables","Raw","Cooked","682f86bd1c4c3836fe537378","68548d09118a9d62c6015329","68548d8eac117ed129579222"
"97","0","2649","Cooked","Meat","Raw","Cooked","5a876665ae9a0b0001a9fbe3","68548d09118a9d62c6015329","68548d95da385c44d2cdf7a3"
"98","0","4619","Cooked","Vegetables","Cooked","Raw","6845c6cf2345ca4445b92731","68548d09118a9d62c6015329","68548d9fc10b7f64995ee57a"
"99","0","3601","Raw","Vegetables","Cooked","Raw","65577234800b1fea9ae3cf4d","68548d09118a9d62c6015329","68548d9608a868fa0bf6c32f"
"100","0","2675","Cooked","Meat","Raw","Cooked","5fadeb340e10471fdeb5fbf5","68548d09118a9d62c6015329","68548d888535bb544486f3d5"
"101","0","9677","Cooked","Vegetables","Cooked","Raw","5ea29d4aeeb3d71b9b736017","68548d09118a9d62c6015329","68548d87a8c567abe811a882"
"102","0","4029","Cooked","Meat","Raw","Cooked","682cb7139011f25d0be62dfd","68548d09118a9d62c6015329","68548d8a01beb2747d0919a7"
"103","0","123342","Cooked","Vegetables","Cooked","Raw","67e7b44b708fcee3c458d4cf","68548d09118a9d62c6015329","68548d8b4beb2a549258c887"
"104","0","180954","Cooked","Vegetables","Raw","Cooked","68435e139502064b79498dd3","68548d09118a9d62c6015329","68548d7edd66dd4a26eaee2b"
"105","0","5685","Cooked","Meat","Cooked","Raw","6839a31356fd08c006569bd9","68548d09118a9d62c6015329","68548d9df195207b2851d9cb"
"106","0","180618","Raw","Vegetables","Raw","Cooked","X","X","X"
